Flow_Index,Simulated_IP,Predicted_Label,Actual_Label,Action,Timestamp
28,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.261542
29,192.168.1.28,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.261542
30,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.261542
31,192.168.1.18,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.261542
32,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.261542
33,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.267778
34,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.268793
35,192.168.1.7,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.269792
36,192.168.1.6,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.270792
37,192.168.1.25,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.270792
38,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.271792
39,10.0.0.6,DDoS,DDoS,BLOCKED,2026-06-23 15:00:41.272793
40,10.0.0.6,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.272793
41,192.168.1.39,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.273792
42,10.0.0.5,DDoS,DDoS,PASSED,2026-06-23 15:00:41.274792
43,192.168.1.3,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.275927
44,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.275927
45,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.276927
46,192.168.1.8,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.277926
47,192.168.1.25,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.278926
48,192.168.1.6,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.279926
49,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.279926
50,192.168.1.19,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.280926
51,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.281925
52,192.168.1.24,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.281925
53,192.168.1.37,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.281925
54,192.168.1.13,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.281925
55,192.168.1.5,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.281925
56,10.0.0.1,DDoS,DDoS,PASSED,2026-06-23 15:00:41.281925
57,192.168.1.15,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.281925
58,10.0.0.5,DDoS,DDoS,PASSED,2026-06-23 15:00:41.281925
59,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.281925
60,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.281925
61,192.168.1.7,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.281925
62,10.0.0.7,DDoS,DDoS,PASSED,2026-06-23 15:00:41.281925
63,10.0.0.5,DDoS,DDoS,PASSED,2026-06-23 15:00:41.281925
64,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.281925
65,192.168.1.24,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.281925
66,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.281925
67,192.168.1.24,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.281925
68,192.168.1.23,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.281925
69,192.168.1.14,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.281925
70,192.168.1.18,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.297671
71,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.298529
72,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.299458
73,192.168.1.11,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.300100
74,192.168.1.35,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.301107
75,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.302109
76,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.302109
77,192.168.1.30,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.303455
78,192.168.1.25,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.303455
79,192.168.1.18,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.303455
80,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.303455
81,192.168.1.15,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.303455
82,192.168.1.21,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.303455
83,192.168.1.4,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.303455
84,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.309445
85,192.168.1.3,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.309445
86,10.0.0.6,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.310459
87,192.168.1.26,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.310459
88,10.0.0.5,DDoS,DDoS,PASSED,2026-06-23 15:00:41.311459
89,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.312459
90,192.168.1.14,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.313470
91,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.314456
92,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.315458
93,192.168.1.14,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.316459
94,192.168.1.32,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.316459
95,192.168.1.26,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.317723
96,192.168.1.30,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.318738
97,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.319737
98,192.168.1.17,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.319737
99,192.168.1.9,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.320737
100,192.168.1.16,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.321738
101,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.323069
102,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.324274
103,192.168.1.17,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.324274
104,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.325480
105,192.168.1.28,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.326754
106,192.168.1.38,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.327086
107,192.168.1.26,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.328096
108,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.329092
109,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.329092
110,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.330238
111,192.168.1.33,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.330888
112,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.330888
113,192.168.1.6,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.330888
114,192.168.1.4,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.330888
115,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.330888
116,192.168.1.10,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.330888
117,192.168.1.11,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.330888
118,192.168.1.28,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.330888
119,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.337203
120,192.168.1.5,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.338355
121,10.0.0.7,DDoS,DDoS,PASSED,2026-06-23 15:00:41.339344
122,192.168.1.25,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.339344
123,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.340345
124,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.341345
125,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.342344
126,192.168.1.17,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.342344
127,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.343347
128,192.168.1.1,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.344356
129,192.168.1.8,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.345433
130,10.0.0.9,DDoS,DDoS,BLOCKED,2026-06-23 15:00:41.346431
131,10.0.0.5,DDoS,DDoS,PASSED,2026-06-23 15:00:41.346431
132,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.347430
133,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.348430
134,192.168.1.19,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.349430
135,10.0.0.7,DDoS,DDoS,PASSED,2026-06-23 15:00:41.349430
136,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.350431
137,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.351432
138,192.168.1.1,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.351432
139,192.168.1.17,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.351432
140,10.0.0.9,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.351432
141,192.168.1.12,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.351432
142,192.168.1.33,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.351432
143,192.168.1.7,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.351432
144,192.168.1.20,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.351432
145,192.168.1.33,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.351432
146,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.351432
147,192.168.1.13,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.358508
148,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.358508
149,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.358508
150,192.168.1.11,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.358508
151,10.0.0.9,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.358508
152,192.168.1.34,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.358508
153,10.0.0.1,DDoS,DDoS,PASSED,2026-06-23 15:00:41.358508
154,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.358508
155,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.358508
156,192.168.1.32,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.358508
157,10.0.0.1,DDoS,DDoS,PASSED,2026-06-23 15:00:41.358508
158,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.367543
159,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.368436
160,10.0.0.5,DDoS,DDoS,PASSED,2026-06-23 15:00:41.369773
161,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.370176
162,10.0.0.1,DDoS,DDoS,BLOCKED,2026-06-23 15:00:41.371231
163,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.372231
164,192.168.1.37,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.373155
165,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.374163
166,192.168.1.6,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.374163
167,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.374163
168,192.168.1.5,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.374163
169,192.168.1.35,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.374163
170,192.168.1.9,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.374163
171,192.168.1.9,DDoS,BENIGN,PASSED,2026-06-23 15:00:41.378930
172,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.380100
173,192.168.1.36,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.380100
174,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.381100
175,192.168.1.17,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.382100
176,10.0.0.9,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.382100
177,192.168.1.39,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.383099
178,10.0.0.7,DDoS,DDoS,PASSED,2026-06-23 15:00:41.384100
179,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.385100
180,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.385998
181,192.168.1.13,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.387161
182,10.0.0.5,DDoS,DDoS,PASSED,2026-06-23 15:00:41.388081
183,192.168.1.26,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.388081
184,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.389076
185,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.390076
186,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.391076
187,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.392075
188,192.168.1.8,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.393076
189,192.168.1.16,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.393076
190,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.393076
191,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.393076
192,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.393076
193,192.168.1.2,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.393076
194,192.168.1.38,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.393076
195,192.168.1.36,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.393076
196,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.393076
197,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.393076
198,192.168.1.15,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.393076
199,192.168.1.1,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.393076
200,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.393076
201,10.0.0.1,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.393076
202,192.168.1.15,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.403872
203,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.404630
204,10.0.0.1,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.404630
205,192.168.1.22,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.405017
206,192.168.1.5,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.406745
207,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.407442
208,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.408606
209,192.168.1.18,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.409603
210,192.168.1.32,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.409603
211,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.409603
212,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.409603
213,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.409603
214,192.168.1.37,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.413652
215,192.168.1.37,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.413652
216,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.413652
217,10.0.0.4,DDoS,DDoS,BLOCKED,2026-06-23 15:00:41.413652
218,192.168.1.31,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.413652
219,10.0.0.7,DDoS,DDoS,PASSED,2026-06-23 15:00:41.413652
220,192.168.1.13,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.413652
221,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.413652
222,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.420695
223,192.168.1.28,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.421720
224,192.168.1.23,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.422712
225,10.0.0.7,DDoS,DDoS,PASSED,2026-06-23 15:00:41.423710
226,10.0.0.7,DDoS,DDoS,BLOCKED,2026-06-23 15:00:41.423710
227,192.168.1.30,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.424713
228,10.0.0.1,DDoS,DDoS,PASSED,2026-06-23 15:00:41.425710
229,192.168.1.7,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.426710
230,192.168.1.4,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.427703
231,10.0.0.7,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.427703
232,192.168.1.22,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.427703
233,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.429698
234,192.168.1.16,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.430740
235,192.168.1.13,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.431738
236,192.168.1.13,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.431738
237,192.168.1.35,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.432739
238,192.168.1.29,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.433739
239,192.168.1.9,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.434738
240,192.168.1.28,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.435270
241,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.436292
242,10.0.0.5,DDoS,DDoS,PASSED,2026-06-23 15:00:41.437240
243,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.437240
244,10.0.0.4,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.437240
245,192.168.1.5,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.437240
246,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.437240
247,192.168.1.36,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.437240
248,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.437240
249,192.168.1.4,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.442099
250,192.168.1.35,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.442099
251,192.168.1.1,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.442099
252,192.168.1.6,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.442099
253,10.0.0.4,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.442099
254,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.442099
255,10.0.0.7,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.442099
256,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.442099
257,192.168.1.31,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.442099
258,10.0.0.4,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.442099
259,10.0.0.7,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.442099
260,192.168.1.4,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.448468
261,192.168.1.11,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.449575
262,192.168.1.25,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.450574
263,10.0.0.1,DDoS,DDoS,PASSED,2026-06-23 15:00:41.451828
264,192.168.1.25,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.451828
265,10.0.0.5,DDoS,DDoS,PASSED,2026-06-23 15:00:41.452828
266,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.453829
267,10.0.0.5,DDoS,DDoS,PASSED,2026-06-23 15:00:41.455387
268,10.0.0.7,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.455387
269,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.456095
270,192.168.1.32,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.456095
271,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.456095
272,192.168.1.13,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.458387
273,10.0.0.5,DDoS,DDoS,BLOCKED,2026-06-23 15:00:41.458387
274,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.458387
275,192.168.1.4,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.458387
276,192.168.1.38,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.462330
277,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.463355
278,192.168.1.4,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.464342
279,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.465341
280,10.0.0.1,DDoS,DDoS,PASSED,2026-06-23 15:00:41.466342
281,192.168.1.4,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.467586
282,192.168.1.38,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.467586
283,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.469309
284,192.168.1.33,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.470087
285,192.168.1.34,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.471347
286,192.168.1.11,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.472366
287,10.0.0.1,DDoS,DDoS,PASSED,2026-06-23 15:00:41.473949
288,192.168.1.33,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.473949
289,192.168.1.6,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.475500
290,10.0.0.3,DDoS,DDoS,PASSED,2026-06-23 15:00:41.476818
291,192.168.1.5,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.476818
292,192.168.1.39,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.478358
293,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.478358
294,192.168.1.16,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.479921
295,10.0.0.7,DDoS,DDoS,PASSED,2026-06-23 15:00:41.480935
296,192.168.1.8,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.480935
297,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.481935
298,192.168.1.16,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.483310
299,192.168.1.38,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.483310
300,192.168.1.39,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.484460
301,192.168.1.3,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.485458
302,192.168.1.40,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.486477
303,192.168.1.6,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.487460
304,192.168.1.27,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.487460
305,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.488457
306,192.168.1.37,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.489460
307,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.490458
308,192.168.1.21,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.490458
309,192.168.1.17,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.490458
310,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.490458
311,10.0.0.6,DDoS,DDoS,PASSED,2026-06-23 15:00:41.490458
312,192.168.1.16,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.490458
313,10.0.0.5,DROPPED,DDoS,BLOCKED,2026-06-23 15:00:41.490458
314,10.0.0.7,DDoS,DDoS,PASSED,2026-06-23 15:00:41.490458
315,192.168.1.9,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.490458
316,192.168.1.20,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.490458
317,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.490458
318,192.168.1.21,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.490458
319,10.0.0.2,DDoS,DDoS,PASSED,2026-06-23 15:00:41.490458
320,10.0.0.1,DDoS,DDoS,PASSED,2026-06-23 15:00:41.490458
321,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.490458
322,192.168.1.40,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.490458
323,10.0.0.10,DDoS,DDoS,PASSED,2026-06-23 15:00:41.490458
324,192.168.1.7,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.501499
325,192.168.1.5,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.502846
326,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.502846
327,192.168.1.14,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.503875
328,10.0.0.9,DDoS,DDoS,PASSED,2026-06-23 15:00:41.504827
